Material,Weight (kg),Transport Distance (km),Region,Virgin CO₂ (kg),Process CO₂ (kg),Transport CO₂ (kg),Net CO₂ Saved (kg)
Glass,5.82,25,USA,9.312,6.984,0.017,2.311
E-waste,7.86,5,Germany,94.32,3.93,0.005,90.385
Glass,5.17,5,EU,8.272,5.687,0.003,2.582
Paper,0.71,75,USA,1.917,0.852,0.006,1.059
Paper,5.2,10,EU,14.04,5.72,0.006,8.314
E-waste,3.57,25,EU,42.84,3.927,0.011,38.902
Plastic,3.08,25,India,18.48,6.16,0.009,12.311
Books,3.16,10,USA,7.9,3.792,0.004,4.104
Clothes,0.29,10,EU,2.32,0.319,0.0,2.001
Plastic,5.44,5,Germany,32.64,2.72,0.003,29.917
Books,3.4,5,India,8.5,6.8,0.002,1.698
Clothes,2.0,75,Germany,16.0,1.0,0.018,14.982
Clothes,8.07,25,India,64.56,16.14,0.024,48.396
Plastic,5.2,25,India,31.2,10.4,0.016,20.784
E-waste,2.89,10,EU,34.68,3.179,0.003,31.498
Plastic,2.84,100,Germany,17.04,1.42,0.034,15.586
Clothes,4.88,100,Germany,39.04,2.44,0.059,36.541
Plastic,1.05,10,India,6.3,2.1,0.001,4.199
E-waste,7.48,10,Germany,89.76,3.74,0.009,86.011
Glass,1.57,25,Germany,2.512,0.785,0.005,1.722
Clothes,4.92,25,India,39.36,9.84,0.015,29.505
Clothes,6.18,5,Germany,49.44,3.09,0.004,46.346
Clothes,7.59,75,USA,60.72,9.108,0.068,51.544
Clothes,5.63,10,USA,45.04,6.756,0.007,38.277
E-waste,6.47,50,EU,77.64,7.117,0.039,70.484
Books,3.48,75,USA,8.7,4.176,0.031,4.493
Clothes,8.57,75,India,68.56,17.14,0.077,51.343
Clothes,5.87,100,India,46.96,11.74,0.07,35.15
Clothes,3.56,75,EU,28.48,3.916,0.032,24.532
Plastic,8.9,10,USA,53.4,10.68,0.011,42.709
E-waste,5.48,5,USA,65.76,6.576,0.003,59.181
Plastic,6.39,75,Germany,38.34,3.195,0.058,35.087
Plastic,7.76,50,EU,46.56,8.536,0.047,37.977
Glass,6.4,10,India,10.24,12.8,0.008,0.0
Books,5.15,100,USA,12.875,6.18,0.062,6.633
Books,4.0,25,USA,10.0,4.8,0.012,5.188
E-waste,7.63,5,India,91.56,15.26,0.005,76.295
Paper,3.77,75,India,10.179,7.54,0.034,2.605
Clothes,3.71,25,USA,29.68,4.452,0.011,25.217
Paper,0.3,25,India,0.81,0.6,0.001,0.209
Plastic,7.99,10,Germany,47.94,3.995,0.01,43.935
Plastic,5.45,50,India,32.7,10.9,0.033,21.767
E-waste,7.43,5,EU,89.16,8.173,0.004,80.983
Plastic,5.18,50,EU,31.08,5.698,0.031,25.351
E-waste,8.17,5,USA,98.04,9.804,0.005,88.231
Paper,3.11,50,USA,8.397,3.732,0.019,4.646
Books,8.58,50,Germany,21.45,4.29,0.051,17.109
Paper,9.2,25,USA,24.84,11.04,0.028,13.772
Clothes,2.26,75,India,18.08,4.52,0.02,13.54
Clothes,5.01,50,India,40.08,10.02,0.03,30.03
Clothes,8.03,75,Germany,64.24,4.015,0.072,60.153
Glass,0.63,10,USA,1.008,0.756,0.001,0.251
E-waste,2.8,100,EU,33.6,3.08,0.034,30.486
Paper,1.36,10,EU,3.672,1.496,0.002,2.174
Glass,6.06,10,USA,9.696,7.272,0.007,2.417
E-waste,3.51,50,Germany,42.12,1.755,0.021,40.344
Paper,6.61,10,India,17.847,13.22,0.008,4.619
Glass,4.42,25,India,7.072,8.84,0.013,0.0
Glass,7.63,25,EU,12.208,8.393,0.023,3.792
Plastic,0.69,25,India,4.14,1.38,0.002,2.758
E-waste,6.46,50,USA,77.52,7.752,0.039,69.729
Clothes,7.91,100,India,63.28,15.82,0.095,47.365
Clothes,8.16,100,Germany,65.28,4.08,0.098,61.102
Glass,9.34,100,USA,14.944,11.208,0.112,3.624
E-waste,1.98,50,Germany,23.76,0.99,0.012,22.758
Glass,1.26,100,USA,2.016,1.512,0.015,0.489
Glass,7.95,50,Germany,12.72,3.975,0.048,8.697
E-waste,2.8,5,EU,33.6,3.08,0.002,30.518
Glass,0.94,25,Germany,1.504,0.47,0.003,1.031
Clothes,3.5,100,EU,28.0,3.85,0.042,24.108
Paper,5.42,10,EU,14.634,5.962,0.007,8.665
Books,9.45,10,EU,23.625,10.395,0.011,13.219
E-waste,9.25,25,USA,111.0,11.1,0.028,99.872
Plastic,8.45,5,India,50.7,16.9,0.005,33.795
Plastic,5.8,10,Germany,34.8,2.9,0.007,31.893
Glass,8.81,25,Germany,14.096,4.405,0.026,9.665
Plastic,6.68,10,EU,40.08,7.348,0.008,32.724
Paper,4.24,25,Germany,11.448,2.12,0.013,9.315
Clothes,8.96,10,Germany,71.68,4.48,0.011,67.189
Books,3.28,25,USA,8.2,3.936,0.01,4.254
Plastic,8.24,5,USA,49.44,9.888,0.005,39.547
Clothes,9.9,5,USA,79.2,11.88,0.006,67.314
Paper,3.02,50,Germany,8.154,1.51,0.018,6.626
Paper,5.09,50,India,13.743,10.18,0.031,3.532
Paper,8.98,10,India,24.246,17.96,0.011,6.275
E-waste,3.57,10,EU,42.84,3.927,0.004,38.909
Clothes,0.55,50,USA,4.4,0.66,0.003,3.737
E-waste,1.71,5,USA,20.52,2.052,0.001,18.467
Plastic,1.79,25,India,10.74,3.58,0.005,7.155
E-waste,3.81,75,USA,45.72,4.572,0.034,41.114
Plastic,3.41,50,USA,20.46,4.092,0.02,16.348
Plastic,0.58,75,EU,3.48,0.638,0.005,2.837
Clothes,1.27,25,India,10.16,2.54,0.004,7.616
Paper,0.5,10,EU,1.35,0.55,0.001,0.799
Clothes,8.48,25,EU,67.84,9.328,0.025,58.487
Clothes,4.37,100,India,34.96,8.74,0.052,26.168
Plastic,5.06,75,India,30.36,10.12,0.046,20.194
Books,6.45,25,EU,16.125,7.095,0.019,9.011
Books,3.85,5,EU,9.625,4.235,0.002,5.388
E-waste,1.55,50,India,18.6,3.1,0.009,15.491
Plastic,0.31,50,USA,1.86,0.372,0.002,1.486
Plastic,8.48,100,Germany,50.88,4.24,0.102,46.538
Plastic,8.92,25,India,53.52,17.84,0.027,35.653
Plastic,1.21,5,Germany,7.26,0.605,0.001,6.654
Paper,6.36,100,EU,17.172,6.996,0.076,10.1
Glass,7.22,100,EU,11.552,7.942,0.087,3.523
E-waste,2.16,75,Germany,25.92,1.08,0.019,24.821
Paper,9.99,5,USA,26.973,11.988,0.006,14.979
Clothes,5.68,10,USA,45.44,6.816,0.007,38.617
Clothes,7.1,75,EU,56.8,7.81,0.064,48.926
Books,9.3,5,Germany,23.25,4.65,0.006,18.594
Clothes,2.93,10,India,23.44,5.86,0.004,17.576
Paper,1.93,10,EU,5.211,2.123,0.002,3.086
Paper,2.55,10,Germany,6.885,1.275,0.003,5.607
Clothes,3.97,50,EU,31.76,4.367,0.024,27.369
Glass,3.13,10,USA,5.008,3.756,0.004,1.248
Paper,9.94,25,USA,26.838,11.928,0.03,14.88
E-waste,2.7,5,EU,32.4,2.97,0.002,29.428
Clothes,2.31,10,EU,18.48,2.541,0.003,15.936
Glass,6.04,5,India,9.664,12.08,0.004,0.0
Paper,5.03,5,USA,13.581,6.036,0.003,7.542
Glass,2.76,75,India,4.416,5.52,0.025,0.0
Glass,6.23,75,EU,9.968,6.853,0.056,3.059
E-waste,7.0,50,USA,84.0,8.4,0.042,75.558
Clothes,5.78,50,EU,46.24,6.358,0.035,39.847
E-waste,6.25,10,Germany,75.0,3.125,0.007,71.868
E-waste,2.89,5,USA,34.68,3.468,0.002,31.21
Paper,1.05,100,EU,2.835,1.155,0.013,1.667
Books,6.74,100,EU,16.85,7.414,0.081,9.355
Glass,3.98,50,India,6.368,7.96,0.024,0.0
Paper,3.98,50,USA,10.746,4.776,0.024,5.946
Plastic,9.43,75,Germany,56.58,4.715,0.085,51.78
Plastic,7.76,10,Germany,46.56,3.88,0.009,42.671
Glass,7.8,100,USA,12.48,9.36,0.094,3.026
Books,7.64,10,EU,19.1,8.404,0.009,10.687
Plastic,5.32,100,India,31.92,10.64,0.064,21.216
E-waste,4.21,75,Germany,50.52,2.105,0.038,48.377
Paper,5.59,10,Germany,15.093,2.795,0.007,12.291
Clothes,9.33,50,India,74.64,18.66,0.056,55.924
Paper,3.77,100,India,10.179,7.54,0.045,2.594
Plastic,1.29,100,EU,7.74,1.419,0.015,6.306
Paper,5.89,10,EU,15.903,6.479,0.007,9.417
Glass,1.09,25,India,1.744,2.18,0.003,0.0
Glass,3.35,50,Germany,5.36,1.675,0.02,3.665
E-waste,6.57,25,EU,78.84,7.227,0.02,71.593
Paper,4.01,10,India,10.827,8.02,0.005,2.802
Glass,0.53,100,India,0.848,1.06,0.006,0.0
Plastic,1.1,50,India,6.6,2.2,0.007,4.393
Paper,7.17,100,EU,19.359,7.887,0.086,11.386
Books,5.27,100,EU,13.175,5.797,0.063,7.315
Clothes,8.66,75,USA,69.28,10.392,0.078,58.81
Plastic,9.21,5,EU,55.26,10.131,0.006,45.123
Clothes,9.6,25,EU,76.8,10.56,0.029,66.211
Books,9.79,25,USA,24.475,11.748,0.029,12.698
Clothes,9.03,25,India,72.24,18.06,0.027,54.153
Books,0.43,25,Germany,1.075,0.215,0.001,0.859
Glass,7.31,100,Germany,11.696,3.655,0.088,7.953
Paper,1.06,10,India,2.862,2.12,0.001,0.741
Plastic,2.93,10,EU,17.58,3.223,0.004,14.353
Glass,3.04,10,EU,4.864,3.344,0.004,1.516
E-waste,3.66,10,India,43.92,7.32,0.004,36.596
E-waste,4.29,10,USA,51.48,5.148,0.005,46.327
Clothes,3.67,25,EU,29.36,4.037,0.011,25.312
Glass,5.16,75,Germany,8.256,2.58,0.046,5.63
Glass,3.97,5,Germany,6.352,1.985,0.002,4.365
Clothes,0.74,50,USA,5.92,0.888,0.004,5.028
Plastic,9.63,10,EU,57.78,10.593,0.012,47.175
Paper,6.92,25,USA,18.684,8.304,0.021,10.359
Books,3.87,10,India,9.675,7.74,0.005,1.93
Books,7.31,75,USA,18.275,8.772,0.066,9.437
Glass,9.36,100,EU,14.976,10.296,0.112,4.568
Clothes,6.19,25,EU,49.52,6.809,0.019,42.692
Plastic,6.42,25,USA,38.52,7.704,0.019,30.797
E-waste,6.85,75,USA,82.2,8.22,0.062,73.918
Paper,3.3,10,Germany,8.91,1.65,0.004,7.256
E-waste,4.8,75,USA,57.6,5.76,0.043,51.797
Glass,2.84,75,India,4.544,5.68,0.026,0.0
Plastic,8.03,75,USA,48.18,9.636,0.072,38.472
Plastic,2.1,50,Germany,12.6,1.05,0.013,11.537
Plastic,8.63,50,EU,51.78,9.493,0.052,42.235
Clothes,2.78,10,Germany,22.24,1.39,0.003,20.847
Plastic,6.91,75,Germany,41.46,3.455,0.062,37.943
Clothes,5.56,25,USA,44.48,6.672,0.017,37.791
Books,2.53,100,Germany,6.325,1.265,0.03,5.03
E-waste,5.02,50,EU,60.24,5.522,0.03,54.688
Clothes,2.77,75,Germany,22.16,1.385,0.025,20.75
Paper,8.67,75,Germany,23.409,4.335,0.078,18.996
E-waste,7.34,25,USA,88.08,8.808,0.022,79.25
Books,6.55,5,Germany,16.375,3.275,0.004,13.096
E-waste,5.91,10,EU,70.92,6.501,0.007,64.412
Glass,9.94,25,India,15.904,19.88,0.03,0.0
Paper,3.14,10,USA,8.478,3.768,0.004,4.706
Clothes,7.75,50,India,62.0,15.5,0.046,46.453
Paper,2.33,75,EU,6.291,2.563,0.021,3.707
Books,4.63,75,USA,11.575,5.556,0.042,5.977
Clothes,1.05,75,USA,8.4,1.26,0.009,7.131
Books,7.52,75,India,18.8,15.04,0.068,3.692
Glass,0.24,75,India,0.384,0.48,0.002,0.0
E-waste,0.47,75,Germany,5.64,0.235,0.004,5.401
Clothes,7.59,5,USA,60.72,9.108,0.005,51.607
Paper,2.71,100,Germany,7.317,1.355,0.033,5.929
Paper,6.86,5,EU,18.522,7.546,0.004,10.972
Paper,7.55,100,India,20.385,15.1,0.091,5.194
Plastic,6.99,10,USA,41.94,8.388,0.008,33.544
Books,9.22,5,India,23.05,18.44,0.006,4.604
Plastic,5.36,5,EU,32.16,5.896,0.003,26.261
Plastic,8.43,25,India,50.58,16.86,0.025,33.695
Plastic,1.92,25,EU,11.52,2.112,0.006,9.402
Clothes,9.49,100,EU,75.92,10.439,0.114,65.367
Paper,8.12,100,EU,21.924,8.932,0.097,12.895
Books,4.74,25,Germany,11.85,2.37,0.014,9.466
Clothes,2.26,50,EU,18.08,2.486,0.014,15.58
Plastic,8.78,100,EU,52.68,9.658,0.105,42.917
E-waste,9.69,10,USA,116.28,11.628,0.012,104.64
Paper,9.93,5,India,26.811,19.86,0.006,6.945
Paper,2.64,75,India,7.128,5.28,0.024,1.824
Glass,3.64,50,USA,5.824,4.368,0.022,1.434
Paper,1.71,50,USA,4.617,2.052,0.01,2.555
Clothes,1.09,5,USA,8.72,1.308,0.001,7.411
Glass,9.4,10,India,15.04,18.8,0.011,0.0
Glass,9.04,100,India,14.464,18.08,0.108,0.0
Plastic,3.47,100,USA,20.82,4.164,0.042,16.614
Books,9.0,5,India,22.5,18.0,0.005,4.495
E-waste,2.19,50,USA,26.28,2.628,0.013,23.639
Plastic,9.5,5,Germany,57.0,4.75,0.006,52.244
Plastic,0.28,10,India,1.68,0.56,0.0,1.12
Books,3.84,75,India,9.6,7.68,0.035,1.885
Plastic,8.37,100,Germany,50.22,4.185,0.1,45.935
Books,9.09,50,Germany,22.725,4.545,0.055,18.125
Plastic,8.75,100,USA,52.5,10.5,0.105,41.895
Books,7.74,5,USA,19.35,9.288,0.005,10.057
E-waste,1.49,10,Germany,17.88,0.745,0.002,17.133
Plastic,5.44,10,Germany,32.64,2.72,0.007,29.913
Plastic,6.88,10,USA,41.28,8.256,0.008,33.016
Paper,2.99,5,Germany,8.073,1.495,0.002,6.576
Plastic,4.86,75,Germany,29.16,2.43,0.044,26.686
E-waste,4.72,75,USA,56.64,5.664,0.042,50.934
Glass,0.68,5,Germany,1.088,0.34,0.0,0.748
Clothes,4.74,100,Germany,37.92,2.37,0.057,35.493
Clothes,1.59,10,India,12.72,3.18,0.002,9.538
Plastic,7.92,10,Germany,47.52,3.96,0.01,43.55
Paper,6.37,50,India,17.199,12.74,0.038,4.421
Clothes,8.82,50,India,70.56,17.64,0.053,52.867
Books,0.88,75,EU,2.2,0.968,0.008,1.224
Paper,9.6,100,EU,25.92,10.56,0.115,15.245
Paper,2.87,50,Germany,7.749,1.435,0.017,6.297
Glass,1.37,75,EU,2.192,1.507,0.012,0.673
Paper,4.82,100,India,13.014,9.64,0.058,3.316
Glass,8.63,100,USA,13.808,10.356,0.104,3.348
Plastic,3.08,50,USA,18.48,3.696,0.018,14.766
Glass,3.89,5,Germany,6.224,1.945,0.002,4.277
E-waste,4.6,75,EU,55.2,5.06,0.041,50.099
Clothes,6.53,25,EU,52.24,7.183,0.02,45.037
Books,7.94,5,USA,19.85,9.528,0.005,10.317
Clothes,6.49,75,India,51.92,12.98,0.058,38.882
Plastic,2.06,50,Germany,12.36,1.03,0.012,11.318
Plastic,8.75,75,Germany,52.5,4.375,0.079,48.046
Glass,1.81,5,Germany,2.896,0.905,0.001,1.99
Plastic,8.66,75,India,51.96,17.32,0.078,34.562
Glass,7.4,100,India,11.84,14.8,0.089,0.0
Clothes,8.67,10,India,69.36,17.34,0.01,52.01
E-waste,4.65,5,EU,55.8,5.115,0.003,50.682
Books,5.89,10,EU,14.725,6.479,0.007,8.239
Clothes,8.48,5,India,67.84,16.96,0.005,50.875
Books,6.01,100,USA,15.025,7.212,0.072,7.741
Plastic,6.24,100,USA,37.44,7.488,0.075,29.877
Glass,6.89,75,EU,11.024,7.579,0.062,3.383
Paper,8.43,50,Germany,22.761,4.215,0.051,18.495
Plastic,6.95,100,EU,41.7,7.645,0.083,33.972
Books,8.44,25,EU,21.1,9.284,0.025,11.791
Paper,9.15,25,EU,24.705,10.065,0.027,14.613
Books,6.93,75,Germany,17.325,3.465,0.062,13.798
Glass,6.67,5,Germany,10.672,3.335,0.004,7.333
Plastic,1.86,75,Germany,11.16,0.93,0.017,10.213
Clothes,4.99,5,USA,39.92,5.988,0.003,33.929
Clothes,8.72,10,Germany,69.76,4.36,0.01,65.39
Books,4.92,75,EU,12.3,5.412,0.044,6.844
Paper,3.7,100,USA,9.99,4.44,0.044,5.506
E-waste,1.07,25,EU,12.84,1.177,0.003,11.66
Clothes,1.51,25,India,12.08,3.02,0.005,9.055
E-waste,2.72,25,Germany,32.64,1.36,0.008,31.272
Glass,2.47,25,Germany,3.952,1.235,0.007,2.71
Books,2.69,5,EU,6.725,2.959,0.002,3.764
Paper,5.51,10,Germany,14.877,2.755,0.007,12.115
Plastic,3.14,75,EU,18.84,3.454,0.028,15.358
Paper,6.24,50,USA,16.848,7.488,0.037,9.323
Plastic,6.98,10,Germany,41.88,3.49,0.008,38.382
Paper,7.93,10,USA,21.411,9.516,0.01,11.885
Plastic,8.76,10,EU,52.56,9.636,0.011,42.913
Books,0.79,10,EU,1.975,0.869,0.001,1.105
Paper,6.42,50,USA,17.334,7.704,0.039,9.591
Clothes,0.93,5,India,7.44,1.86,0.001,5.579
Clothes,9.74,5,India,77.92,19.48,0.006,58.434
Plastic,5.18,25,Germany,31.08,2.59,0.016,28.474
Clothes,9.88,75,Germany,79.04,4.94,0.089,74.011
Books,6.06,75,Germany,15.15,3.03,0.055,12.065
E-waste,0.62,75,India,7.44,1.24,0.006,6.194
Clothes,0.95,75,USA,7.6,1.14,0.009,6.451
Books,7.62,10,USA,19.05,9.144,0.009,9.897
Paper,0.44,25,EU,1.188,0.484,0.001,0.703
Books,6.1,25,EU,15.25,6.71,0.018,8.522
Books,6.93,5,USA,17.325,8.316,0.004,9.005
E-waste,2.15,50,Germany,25.8,1.075,0.013,24.712
Clothes,9.5,5,Germany,76.0,4.75,0.006,71.244
E-waste,5.54,100,USA,66.48,6.648,0.066,59.766
Clothes,4.86,5,USA,38.88,5.832,0.003,33.045
Clothes,3.91,100,USA,31.28,4.692,0.047,26.541
Books,9.93,75,Germany,24.825,4.965,0.089,19.771
Clothes,8.68,10,India,69.44,17.36,0.01,52.07
Clothes,6.03,10,India,48.24,12.06,0.007,36.173
Glass,6.26,50,India,10.016,12.52,0.038,0.0
Clothes,4.74,100,India,37.92,9.48,0.057,28.383
Clothes,7.64,100,India,61.12,15.28,0.092,45.748
Plastic,6.13,10,EU,36.78,6.743,0.007,30.03
Books,5.6,75,Germany,14.0,2.8,0.05,11.15
Clothes,8.27,5,India,66.16,16.54,0.005,49.615
Paper,1.39,5,Germany,3.753,0.695,0.001,3.057
Plastic,7.54,5,USA,45.24,9.048,0.005,36.187
Books,3.62,100,India,9.05,7.24,0.043,1.767
Glass,1.59,75,India,2.544,3.18,0.014,0.0
E-waste,9.16,50,India,109.92,18.32,0.055,91.545
Books,3.96,10,EU,9.9,4.356,0.005,5.539
Plastic,3.97,25,Germany,23.82,1.985,0.012,21.823
Books,7.28,25,EU,18.2,8.008,0.022,10.17
Paper,8.19,75,Germany,22.113,4.095,0.074,17.944
Clothes,2.36,50,USA,18.88,2.832,0.014,16.034
Paper,9.46,25,USA,25.542,11.352,0.028,14.162
Glass,5.94,50,Germany,9.504,2.97,0.036,6.498
Clothes,4.84,10,Germany,38.72,2.42,0.006,36.294
E-waste,5.41,75,India,64.92,10.82,0.049,54.051
Paper,5.9,50,EU,15.93,6.49,0.035,9.405
Clothes,8.97,50,USA,71.76,10.764,0.054,60.942
Glass,5.03,100,Germany,8.048,2.515,0.06,5.473
Clothes,2.58,5,Germany,20.64,1.29,0.002,19.348
E-waste,2.08,75,Germany,24.96,1.04,0.019,23.901
Glass,2.51,75,USA,4.016,3.012,0.023,0.981
E-waste,1.74,100,Germany,20.88,0.87,0.021,19.989
E-waste,4.7,10,India,56.4,9.4,0.006,46.994
E-waste,4.21,25,India,50.52,8.42,0.013,42.087
Books,3.37,25,EU,8.425,3.707,0.01,4.708
Glass,6.1,25,Germany,9.76,3.05,0.018,6.692
Glass,7.21,10,USA,11.536,8.652,0.009,2.875
E-waste,1.31,10,EU,15.72,1.441,0.002,14.277
Glass,1.12,100,USA,1.792,1.344,0.013,0.435
E-waste,3.48,75,India,41.76,6.96,0.031,34.769
Plastic,5.25,100,EU,31.5,5.775,0.063,25.662
Paper,5.06,25,EU,13.662,5.566,0.015,8.081
E-waste,3.13,10,Germany,37.56,1.565,0.004,35.991
Plastic,1.14,10,Germany,6.84,0.57,0.001,6.269
Plastic,1.8,75,India,10.8,3.6,0.016,7.184
Clothes,4.37,10,USA,34.96,5.244,0.005,29.711
Glass,6.51,25,EU,10.416,7.161,0.02,3.235
Clothes,2.23,25,USA,17.84,2.676,0.007,15.157
Plastic,1.46,75,EU,8.76,1.606,0.013,7.141
Clothes,2.37,50,EU,18.96,2.607,0.014,16.339
Books,5.98,5,USA,14.95,7.176,0.004,7.77
E-waste,6.61,100,USA,79.32,7.932,0.079,71.309
Clothes,8.85,25,Germany,70.8,4.425,0.027,66.348
Paper,9.89,75,India,26.703,19.78,0.089,6.834
Books,9.09,100,India,22.725,18.18,0.109,4.436
E-waste,1.17,100,India,14.04,2.34,0.014,11.686
E-waste,7.84,75,USA,94.08,9.408,0.071,84.601
Glass,1.03,5,USA,1.648,1.236,0.001,0.411
Clothes,7.87,50,Germany,62.96,3.935,0.047,58.978
Clothes,3.09,100,EU,24.72,3.399,0.037,21.284
Paper,5.31,10,USA,14.337,6.372,0.006,7.959
Books,4.39,10,USA,10.975,5.268,0.005,5.702
E-waste,7.51,50,EU,90.12,8.261,0.045,81.814
Plastic,6.07,75,USA,36.42,7.284,0.055,29.081
Books,7.59,50,Germany,18.975,3.795,0.046,15.134
Plastic,2.17,50,India,13.02,4.34,0.013,8.667
E-waste,4.55,10,USA,54.6,5.46,0.005,49.135
Clothes,7.66,75,USA,61.28,9.192,0.069,52.019
Clothes,1.77,100,USA,14.16,2.124,0.021,12.015
Glass,2.81,5,EU,4.496,3.091,0.002,1.403
E-waste,3.98,5,Germany,47.76,1.99,0.002,45.768
Books,1.76,10,India,4.4,3.52,0.002,0.878
Plastic,3.58,5,India,21.48,7.16,0.002,14.318
E-waste,6.23,75,India,74.76,12.46,0.056,62.244
E-waste,8.17,100,EU,98.04,8.987,0.098,88.955
Clothes,7.9,25,India,63.2,15.8,0.024,47.376
E-waste,9.76,5,India,117.12,19.52,0.006,97.594
Books,5.31,25,USA,13.275,6.372,0.016,6.887
Clothes,8.29,75,EU,66.32,9.119,0.075,57.126
Paper,0.42,10,USA,1.134,0.504,0.001,0.629
Glass,9.26,5,India,14.816,18.52,0.006,0.0
Paper,7.52,100,India,20.304,15.04,0.09,5.174
Plastic,2.86,5,USA,17.16,3.432,0.002,13.726
E-waste,6.89,5,Germany,82.68,3.445,0.004,79.231
Glass,7.99,50,Germany,12.784,3.995,0.048,8.741
Paper,5.04,25,Germany,13.608,2.52,0.015,11.073
Books,1.59,75,EU,3.975,1.749,0.014,2.212
Paper,9.79,25,EU,26.433,10.769,0.029,15.635
Clothes,1.89,25,Germany,15.12,0.945,0.006,14.169
Clothes,6.36,10,USA,50.88,7.632,0.008,43.24
E-waste,3.85,100,India,46.2,7.7,0.046,38.454
Books,0.76,10,India,1.9,1.52,0.001,0.379
Plastic,2.78,100,India,16.68,5.56,0.033,11.087
Glass,0.25,50,EU,0.4,0.275,0.002,0.123
Clothes,7.02,50,Germany,56.16,3.51,0.042,52.608
Paper,2.63,25,USA,7.101,3.156,0.008,3.937
Paper,0.35,100,USA,0.945,0.42,0.004,0.521
Books,5.98,5,USA,14.95,7.176,0.004,7.77
Books,3.9,10,Germany,9.75,1.95,0.005,7.795
Books,5.22,75,India,13.05,10.44,0.047,2.563
Plastic,6.44,100,USA,38.64,7.728,0.077,30.835
Glass,7.71,50,India,12.336,15.42,0.046,0.0
Clothes,2.92,50,EU,23.36,3.212,0.018,20.13
Glass,9.12,50,USA,14.592,10.944,0.055,3.593
Paper,0.42,5,Germany,1.134,0.21,0.0,0.924
Plastic,8.37,25,Germany,50.22,4.185,0.025,46.01
Plastic,3.91,10,Germany,23.46,1.955,0.005,21.5
Glass,0.91,25,India,1.456,1.82,0.003,0.0
Plastic,3.57,25,USA,21.42,4.284,0.011,17.125
Clothes,0.89,10,EU,7.12,0.979,0.001,6.14
Paper,0.66,25,USA,1.782,0.792,0.002,0.988
E-waste,9.31,50,USA,111.72,11.172,0.056,100.492
Paper,1.16,100,USA,3.132,1.392,0.014,1.726
Clothes,6.5,75,EU,52.0,7.15,0.058,44.791
Clothes,5.75,75,EU,46.0,6.325,0.052,39.623
Plastic,1.35,5,EU,8.1,1.485,0.001,6.614
E-waste,6.61,100,India,79.32,13.22,0.079,66.021
Plastic,4.97,10,Germany,29.82,2.485,0.006,27.329
Clothes,2.2,5,Germany,17.6,1.1,0.001,16.499
Books,1.74,50,USA,4.35,2.088,0.01,2.252
E-waste,6.24,100,Germany,74.88,3.12,0.075,71.685
Glass,9.54,100,USA,15.264,11.448,0.114,3.702
Plastic,1.79,100,India,10.74,3.58,0.021,7.139
Paper,6.48,100,India,17.496,12.96,0.078,4.458
E-waste,5.54,75,EU,66.48,6.094,0.05,60.336
Paper,7.68,50,Germany,20.736,3.84,0.046,16.85
Plastic,9.89,10,India,59.34,19.78,0.012,39.548
E-waste,3.72,10,EU,44.64,4.092,0.004,40.544
Paper,3.09,75,Germany,8.343,1.545,0.028,6.77
Plastic,3.8,10,USA,22.8,4.56,0.005,18.235
Clothes,7.38,10,EU,59.04,8.118,0.009,50.913
Plastic,0.95,100,EU,5.7,1.045,0.011,4.644
Clothes,6.99,100,India,55.92,13.98,0.084,41.856
Glass,7.68,25,India,12.288,15.36,0.023,0.0
Plastic,9.34,10,USA,56.04,11.208,0.011,44.821
Clothes,8.94,5,India,71.52,17.88,0.005,53.635
E-waste,9.13,100,Germany,109.56,4.565,0.11,104.885
Clothes,0.96,100,Germany,7.68,0.48,0.012,7.188
Clothes,5.68,100,India,45.44,11.36,0.068,34.012
Paper,7.33,75,India,19.791,14.66,0.066,5.065
Paper,9.98,75,EU,26.946,10.978,0.09,15.878
Paper,6.56,50,India,17.712,13.12,0.039,4.553
Plastic,5.85,10,Germany,35.1,2.925,0.007,32.168
Paper,6.18,50,India,16.686,12.36,0.037,4.289
Books,0.84,100,USA,2.1,1.008,0.01,1.082
Books,9.13,25,EU,22.825,10.043,0.027,12.755
Glass,2.91,10,Germany,4.656,1.455,0.003,3.198
Books,7.58,10,Germany,18.95,3.79,0.009,15.151
Plastic,0.63,50,India,3.78,1.26,0.004,2.516
Clothes,9.84,75,Germany,78.72,4.92,0.089,73.711
Plastic,7.98,5,Germany,47.88,3.99,0.005,43.885
Paper,3.66,5,USA,9.882,4.392,0.002,5.488
Clothes,5.4,100,Germany,43.2,2.7,0.065,40.435
E-waste,2.45,25,India,29.4,4.9,0.007,24.493
Books,4.79,75,Germany,11.975,2.395,0.043,9.537
Glass,8.7,75,USA,13.92,10.44,0.078,3.402
Glass,5.39,5,EU,8.624,5.929,0.003,2.692
Paper,1.73,25,EU,4.671,1.903,0.005,2.763
Clothes,8.67,100,Germany,69.36,4.335,0.104,64.921
Books,5.59,75,USA,13.975,6.708,0.05,7.217
Glass,2.79,75,USA,4.464,3.348,0.025,1.091
Books,6.07,75,USA,15.175,7.284,0.055,7.836
Books,5.52,75,India,13.8,11.04,0.05,2.71
Plastic,5.56,25,USA,33.36,6.672,0.017,26.671
Paper,2.95,75,India,7.965,5.9,0.027,2.038
Paper,8.1,5,USA,21.87,9.72,0.005,12.145
Glass,1.84,5,USA,2.944,2.208,0.001,0.735
Clothes,4.84,10,USA,38.72,5.808,0.006,32.906
